County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
09 - El Dorado,12/31/2015,Pending Construction,116380.00,2,Greater Sacramento Counties
09 - El Dorado,12/31/2015,In Construction,14441902.00,13,Greater Sacramento Counties
09 - El Dorado,12/31/2015,In Closure,223815.00,3,Greater Sacramento Counties
10 - Fresno,12/31/2015,In Review,30706046.00,20,
10 - Fresno,12/31/2015,Pending Construction,8245726.00,31,
10 - Fresno,12/31/2015,In Construction,78559274.00,102,
10 - Fresno,12/31/2015,In Closure,92243856.00,42,
11 - Glenn,12/31/2015,In Review,12912075.00,1,
11 - Glenn,12/31/2015,Pending Construction,50000.00,1,
11 - Glenn,12/31/2015,In Construction,284685.00,1,
11 - Glenn,12/31/2015,In Closure,0.00,0,
12 - Humboldt,12/31/2015,In Review,13577932.00,12,
12 - Humboldt,12/31/2015,Pending Construction,415200.00,6,
12 - Humboldt,12/31/2015,In Construction,89569057.00,18,
12 - Humboldt,12/31/2015,In Closure,1047514.00,5,
13 - Imperial,12/31/2015,In Review,43235000.00,3,
13 - Imperial,12/31/2015,Pending Construction,20001000.00,4,
13 - Imperial,12/31/2015,In Construction,9243900.00,6,
13 - Imperial,12/31/2015,In Closure,334010.00,3,
14 - Inyo,12/31/2015,In Review,30000.00,1,
14 - Inyo,12/31/2015,Pending Construction,0.00,0,
14 - Inyo,12/31/2015,In Construction,0.00,0,
14 - Inyo,12/31/2015,In Closure,45000.00,1,
15 - Kern,12/31/2015,In Review,19835319.00,27,
15 - Kern,12/31/2015,Pending Construction,13274377.00,22,
15 - Kern,12/31/2015,In Construction,68083323.00,37,
15 - Kern,12/31/2015,In Closure,2380531.00,12,
16 - Kings,12/31/2015,In Review,150000.00,1,
16 - Kings,12/31/2015,Pending Construction,267889.00,6,
16 - Kings,12/31/2015,In Construction,28313428.00,3,
16 - Kings,12/31/2015,In Closure,5670.00,1,
17 - Lake,12/31/2015,In Review,857590.00,7,
17 - Lake,12/31/2015,Pending Construction,992000.00,4,
17 - Lake,12/31/2015,In Construction,3266943.00,8,
17 - Lake,12/31/2015,In Closure,9658980.00,5,
18 - Lassen,12/31/2015,In Review,0.00,0,
18 - Lassen,12/31/2015,Pending Construction,1002600.00,3,
18 - Lassen,12/31/2015,In Construction,1513531.00,11,
18 - Lassen,12/31/2015,In Closure,671182.00,3,
19 - Los Angeles,12/31/2015,In Review,496548380.00,527,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,Pending Construction,213215941.00,499,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,In Construction,951222404.00,904,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,In Closure,1144358191.00,486,Greater Los Angeles Counties
20 - Madera,12/31/2015,In Review,2490783.00,5,
20 - Madera,12/31/2015,Pending Construction,2208471.00,12,
20 - Madera,12/31/2015,In Construction,5265216.00,20,
20 - Madera,12/31/2015,In Closure,5048159.00,17,
21 - Marin,12/31/2015,In Review,212631895.00,17,Bay Area Counties
