County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
49 - Sonoma,11/2/2017,Pending Construction,948483.00,18,Bay Area Counties
49 - Sonoma,11/2/2017,In Construction,24367501.00,57,Bay Area Counties
49 - Sonoma,11/2/2017,In Closure,2313388.00,10,Bay Area Counties
50 - Stanislaus,11/2/2017,In Review,21593326.00,15,
50 - Stanislaus,11/2/2017,Pending Construction,2052464.00,16,
50 - Stanislaus,11/2/2017,In Construction,26542950.00,45,
50 - Stanislaus,11/2/2017,In Closure,157000.00,1,
51 - Sutter,11/2/2017,In Review,154500.00,3,
51 - Sutter,11/2/2017,Pending Construction,17500.00,2,
51 - Sutter,11/2/2017,In Construction,17300.00,2,
51 - Sutter,11/2/2017,In Closure,0.00,0,
52 - Tehama,11/2/2017,In Review,90000.00,1,
52 - Tehama,11/2/2017,Pending Construction,122000.00,2,
52 - Tehama,11/2/2017,In Construction,1499634.00,5,
52 - Tehama,11/2/2017,In Closure,0.00,0,
53 - Trinity,11/2/2017,In Review,0.00,0,
53 - Trinity,11/2/2017,Pending Construction,178500.00,3,
53 - Trinity,11/2/2017,In Construction,0.00,0,
53 - Trinity,11/2/2017,In Closure,1426478.00,2,
54 - Tulare,11/2/2017,In Review,15985917.00,5,
54 - Tulare,11/2/2017,Pending Construction,9847274.00,7,
54 - Tulare,11/2/2017,In Construction,50718651.00,18,
54 - Tulare,11/2/2017,In Closure,3331915.00,6,
55 - Tuolumne,11/2/2017,In Review,0.00,0,
55 - Tuolumne,11/2/2017,Pending Construction,163231.00,1,
55 - Tuolumne,11/2/2017,In Construction,2061102.00,3,
55 - Tuolumne,11/2/2017,In Closure,0.00,0,
56 - Ventura,11/2/2017,In Review,31023793.00,22,Greater Los Angeles Counties
56 - Ventura,11/2/2017,Pending Construction,2915000.00,17,Greater Los Angeles Counties
56 - Ventura,11/2/2017,In Construction,429930742.00,67,Greater Los Angeles Counties
56 - Ventura,11/2/2017,In Closure,1554265.00,6,Greater Los Angeles Counties
57 - Yolo,11/2/2017,In Review,16185923.00,7,Greater Sacramento Counties
57 - Yolo,11/2/2017,Pending Construction,292000.00,2,Greater Sacramento Counties
57 - Yolo,11/2/2017,In Construction,11261081.00,16,Greater Sacramento Counties
57 - Yolo,11/2/2017,In Closure,5579.00,1,Greater Sacramento Counties
58 - Yuba,11/2/2017,In Review,0.00,1,
58 - Yuba,11/2/2017,Pending Construction,1971191.00,4,
58 - Yuba,11/2/2017,In Construction,58161174.00,14,
58 - Yuba,11/2/2017,In Closure,89170550.00,2,
01 - Alameda,11/17/2017,In Review,98429208.00,61,Bay Area Counties
01 - Alameda,11/17/2017,Pending Construction,47858367.00,47,Bay Area Counties
01 - Alameda,11/17/2017,In Construction,635102296.00,118,Bay Area Counties
01 - Alameda,11/17/2017,In Closure,5402824.00,15,Bay Area Counties
02 - Alpine,11/17/2017,In Review,0.00,0,
02 - Alpine,11/17/2017,Pending Construction,0.00,0,
02 - Alpine,11/17/2017,In Construction,0.00,0,
02 - Alpine,11/17/2017,In Closure,0.00,0,
03 - Amador,11/17/2017,In Review,2173353.00,1,
03 - Amador,11/17/2017,Pending Construction,10000.00,1,
03 - Amador,11/17/2017,In Construction,353993.00,1,
03 - Amador,11/17/2017,In Closure,1296866.00,4,
04 - Butte,11/17/2017,In Review,88750000.00,9,
04 - Butte,11/17/2017,Pending Construction,103459.00,3,
04 - Butte,11/17/2017,In Construction,2876249.00,7,
04 - Butte,11/17/2017,In Closure,411214.00,5,
05 - Calaveras,11/17/2017,In Review,170600.00,1,
05 - Calaveras,11/17/2017,Pending Construction,150000.00,1,
05 - Calaveras,11/17/2017,In Construction,141564.00,2,
05 - Calaveras,11/17/2017,In Closure,0.00,0,
06 - Colusa,11/17/2017,In Review,0.00,0,
06 - Colusa,11/17/2017,Pending Construction,0.00,0,
06 - Colusa,11/17/2017,In Construction,0.00,0,
06 - Colusa,11/17/2017,In Closure,0.00,0,
07 - Contra Costa,11/17/2017,In Review,31974044.00,28,Bay Area Counties
07 - Contra Costa,11/17/2017,Pending Construction,2986212.00,21,Bay Area Counties
07 - Contra Costa,11/17/2017,In Construction,41877512.00,66,Bay Area Counties
07 - Contra Costa,11/17/2017,In Closure,4021406.00,19,Bay Area Counties
08 - Del Norte,11/17/2017,In Review,0.00,0,
08 - Del Norte,11/17/2017,Pending Construction,142300.00,5,
08 - Del Norte,11/17/2017,In Construction,2257500.00,5,
08 - Del Norte,11/17/2017,In Closure,153800.00,2,
09 - El Dorado,11/17/2017,In Review,2655000.00,5,Greater Sacramento Counties
09 - El Dorado,11/17/2017,Pending Construction,2033079.00,4,Greater Sacramento Counties
09 - El Dorado,11/17/2017,In Construction,17357110.00,19,Greater Sacramento Counties
09 - El Dorado,11/17/2017,In Closure,158004.00,1,Greater Sacramento Counties
10 - Fresno,11/17/2017,In Review,87126267.00,21,
10 - Fresno,11/17/2017,Pending Construction,54826971.00,29,
10 - Fresno,11/17/2017,In Construction,53776866.00,79,
10 - Fresno,11/17/2017,In Closure,3650938.00,9,
11 - Glenn,11/17/2017,In Review,0.00,0,
11 - Glenn,11/17/2017,Pending Construction,12962075.00,2,
11 - Glenn,11/17/2017,In Construction,0.00,0,
11 - Glenn,11/17/2017,In Closure,0.00,0,
12 - Humboldt,11/17/2017,In Review,1093000.00,3,
12 - Humboldt,11/17/2017,Pending Construction,9565600.00,7,
12 - Humboldt,11/17/2017,In Construction,87516291.00,4,
12 - Humboldt,11/17/2017,In Closure,990572.00,6,
13 - Imperial,11/17/2017,In Review,14509000.00,6,
13 - Imperial,11/17/2017,Pending Construction,46725000.00,5,
13 - Imperial,11/17/2017,In Construction,23182071.00,11,
13 - Imperial,11/17/2017,In Closure,0.00,0,
14 - Inyo,11/17/2017,In Review,5000.00,1,
14 - Inyo,11/17/2017,Pending Construction,30000.00,1,
14 - Inyo,11/17/2017,In Construction,0.00,0,
14 - Inyo,11/17/2017,In Closure,45000.00,1,
15 - Kern,11/17/2017,In Review,52625655.00,25,
15 - Kern,11/17/2017,Pending Construction,5778006.00,20,
15 - Kern,11/17/2017,In Construction,55866595.00,54,
15 - Kern,11/17/2017,In Closure,1406478.00,6,
16 - Kings,11/17/2017,In Review,0.00,0,
16 - Kings,11/17/2017,Pending Construction,251500.00,4,
16 - Kings,11/17/2017,In Construction,793460.00,8,
16 - Kings,11/17/2017,In Closure,141880.00,1,
17 - Lake,11/17/2017,In Review,6672549.00,3,
17 - Lake,11/17/2017,Pending Construction,5000.00,1,
17 - Lake,11/17/2017,In Construction,1450098.00,16,
17 - Lake,11/17/2017,In Closure,1422343.00,6,
18 - Lassen,11/17/2017,In Review,147292.00,1,
18 - Lassen,11/17/2017,Pending Construction,50000.00,1,
18 - Lassen,11/17/2017,In Construction,1447855.00,8,
18 - Lassen,11/17/2017,In Closure,420000.00,1,
19 - Los Angeles,11/17/2017,In Review,841705486.00,416,Greater Los Angeles Counties
19 - Los Angeles,11/17/2017,Pending Construction,285328586.00,422,Greater Los Angeles Counties
19 - Los Angeles,11/17/2017,In Construction,600636094.00,863,Greater Los Angeles Counties
19 - Los Angeles,11/17/2017,In Closure,115227038.00,198,Greater Los Angeles Counties
20 - Madera,11/17/2017,In Review,7691099.00,8,
20 - Madera,11/17/2017,Pending Construction,2578899.00,7,
20 - Madera,11/17/2017,In Construction,19274288.00,24,
20 - Madera,11/17/2017,In Closure,1067332.00,3,
21 - Marin,11/17/2017,In Review,8540932.00,17,Bay Area Counties
21 - Marin,11/17/2017,Pending Construction,3360258.00,18,Bay Area Counties
21 - Marin,11/17/2017,In Construction,42524348.00,42,Bay Area Counties
21 - Marin,11/17/2017,In Closure,1819193.00,12,Bay Area Counties
22 - Mariposa,11/17/2017,In Review,0.00,0,
22 - Mariposa,11/17/2017,Pending Construction,0.00,0,
22 - Mariposa,11/17/2017,In Construction,25000.00,1,
22 - Mariposa,11/17/2017,In Closure,0.00,0,
23 - Mendocino,11/17/2017,In Review,728964.00,5,
23 - Mendocino,11/17/2017,Pending Construction,923700.00,8,
23 - Mendocino,11/17/2017,In Construction,22193058.00,20,
23 - Mendocino,11/17/2017,In Closure,512767.00,3,
24 - Merced,11/17/2017,In Review,1492791.00,3,
24 - Merced,11/17/2017,Pending Construction,73096.00,3,
24 - Merced,11/17/2017,In Construction,1227668.00,13,
24 - Merced,11/17/2017,In Closure,220852.00,3,
25 - Modoc,11/17/2017,In Review,19200000.00,1,
25 - Modoc,11/17/2017,Pending Construction,0.00,0,
25 - Modoc,11/17/2017,In Construction,45000.00,1,
25 - Modoc,11/17/2017,In Closure,0.00,0,
26 - Mono,11/17/2017,In Review,0.00,0,
26 - Mono,11/17/2017,Pending Construction,0.00,0,
26 - Mono,11/17/2017,In Construction,81000.00,2,
26 - Mono,11/17/2017,In Closure,0.00,0,
27 - Monterey,11/17/2017,In Review,1160612.00,10,
27 - Monterey,11/17/2017,Pending Construction,11977674.00,13,
27 - Monterey,11/17/2017,In Construction,44352000.00,32,
27 - Monterey,11/17/2017,In Closure,488283.00,5,
28 - Napa,11/17/2017,In Review,11273238.00,10,Bay Area Counties
28 - Napa,11/17/2017,Pending Construction,1113405.00,9,Bay Area Counties
28 - Napa,11/17/2017,In Construction,7967860.00,27,Bay Area Counties
28 - Napa,11/17/2017,In Closure,180159.00,5,Bay Area Counties
29 - Nevada,11/17/2017,In Review,3233310.00,9,
29 - Nevada,11/17/2017,Pending Construction,3330850.00,7,
29 - Nevada,11/17/2017,In Construction,26652929.00,16,
29 - Nevada,11/17/2017,In Closure,4506983.00,6,
30 - Orange,11/17/2017,In Review,137385832.00,85,Greater Los Angeles Counties
30 - Orange,11/17/2017,Pending Construction,8652463.00,69,Greater Los Angeles Counties
30 - Orange,11/17/2017,In Construction,130065664.00,149,Greater Los Angeles Counties
30 - Orange,11/17/2017,In Closure,11966263.00,56,Greater Los Angeles Counties
31 - Placer,11/17/2017,In Review,11286940.00,13,Greater Sacramento Counties
31 - Placer,11/17/2017,Pending Construction,798381.00,9,Greater Sacramento Counties
31 - Placer,11/17/2017,In Construction,36958860.00,31,Greater Sacramento Counties
31 - Placer,11/17/2017,In Closure,1807707.00,9,Greater Sacramento Counties
32 - Plumas,11/17/2017,In Review,140000.00,1,
32 - Plumas,11/17/2017,Pending Construction,115000.00,3,
32 - Plumas,11/17/2017,In Construction,3379.00,1,
32 - Plumas,11/17/2017,In Closure,3683.00,1,
33 - Riverside,11/17/2017,In Review,207004083.00,50,
33 - Riverside,11/17/2017,Pending Construction,35770047.00,59,
33 - Riverside,11/17/2017,In Construction,448853751.00,127,
33 - Riverside,11/17/2017,In Closure,27126075.00,20,
34 - Sacramento,11/17/2017,In Review,64363448.00,41,Greater Sacramento Counties
34 - Sacramento,11/17/2017,Pending Construction,35262740.00,52,Greater Sacramento Counties
34 - Sacramento,11/17/2017,In Construction,266826027.00,150,Greater Sacramento Counties
34 - Sacramento,11/17/2017,In Closure,199927962.00,32,Greater Sacramento Counties
35 - San Benito,11/17/2017,In Review,90000.00,1,
35 - San Benito,11/17/2017,Pending Construction,0.00,0,
35 - San Benito,11/17/2017,In Construction,115888.00,2,
35 - San Benito,11/17/2017,In Closure,0.00,0,
36 - San Bernardino,11/17/2017,In Review,343993573.00,59,
36 - San Bernardino,11/17/2017,Pending Construction,116204259.00,69,
36 - San Bernardino,11/17/2017,In Construction,508599774.00,132,
36 - San Bernardino,11/17/2017,In Closure,15826450.00,38,
37 - San Diego,11/17/2017,In Review,141223993.00,79,
37 - San Diego,11/17/2017,Pending Construction,65761754.00,133,
37 - San Diego,11/17/2017,In Construction,324304721.00,215,
37 - San Diego,11/17/2017,In Closure,35471968.00,53,
38 - San Francisco,11/17/2017,In Review,85109015.00,59,Bay Area Counties
38 - San Francisco,11/17/2017,Pending Construction,23405733.00,45,Bay Area Counties
38 - San Francisco,11/17/2017,In Construction,1354811432.00,107,Bay Area Counties
38 - San Francisco,11/17/2017,In Closure,34451537.00,20,Bay Area Counties
39 - San Joaquin,11/17/2017,In Review,33756083.00,20,
39 - San Joaquin,11/17/2017,Pending Construction,4370500.00,12,
39 - San Joaquin,11/17/2017,In Construction,42576642.00,29,
39 - San Joaquin,11/17/2017,In Closure,3160562.00,13,
40 - San Luis Obispo,11/17/2017,In Review,18894405.00,15,
40 - San Luis Obispo,11/17/2017,Pending Construction,480644.00,6,
40 - San Luis Obispo,11/17/2017,In Construction,6250986.00,17,
40 - San Luis Obispo,11/17/2017,In Closure,1779084.00,4,
41 - San Mateo,11/17/2017,In Review,36754208.00,30,Bay Area Counties
41 - San Mateo,11/17/2017,Pending Construction,17658664.00,24,Bay Area Counties
41 - San Mateo,11/17/2017,In Construction,39574618.00,55,Bay Area Counties
41 - San Mateo,11/17/2017,In Closure,3510179.00,15,Bay Area Counties
42 - Santa Barbara,11/17/2017,In Review,28628100.00,11,
42 - Santa Barbara,11/17/2017,Pending Construction,1808340.00,12,
42 - Santa Barbara,11/17/2017,In Construction,152178623.00,33,
42 - Santa Barbara,11/17/2017,In Closure,939784.00,8,
43 - Santa Clara,11/17/2017,In Review,343495080.00,68,Bay Area Counties
43 - Santa Clara,11/17/2017,Pending Construction,10298681.00,38,Bay Area Counties
43 - Santa Clara,11/17/2017,In Construction,1925953819.00,154,Bay Area Counties
43 - Santa Clara,11/17/2017,In Closure,37005050.00,11,Bay Area Counties
44 - Santa Cruz,11/17/2017,In Review,4871993.00,14,
44 - Santa Cruz,11/17/2017,Pending Construction,0.00,0,
44 - Santa Cruz,11/17/2017,In Construction,17757180.00,19,
44 - Santa Cruz,11/17/2017,In Closure,0.00,0,
45 - Shasta,11/17/2017,In Review,13074196.00,8,
45 - Shasta,11/17/2017,Pending Construction,2166500.00,8,
45 - Shasta,11/17/2017,In Construction,6367169.00,19,
45 - Shasta,11/17/2017,In Closure,1958678.00,5,
46 - Sierra,11/17/2017,In Review,0.00,0,
46 - Sierra,11/17/2017,Pending Construction,102200.00,1,
46 - Sierra,11/17/2017,In Construction,148000.00,1,
46 - Sierra,11/17/2017,In Closure,0.00,0,
47 - Siskiyou,11/17/2017,In Review,4000500.00,2,
47 - Siskiyou,11/17/2017,Pending Construction,1303500.00,6,
47 - Siskiyou,11/17/2017,In Construction,1082297.00,7,
47 - Siskiyou,11/17/2017,In Closure,0.00,0,
48 - Solano,11/17/2017,In Review,13108052.00,15,Bay Area Counties
48 - Solano,11/17/2017,Pending Construction,2970821.00,14,Bay Area Counties
48 - Solano,11/17/2017,In Construction,79552335.00,17,Bay Area Counties
48 - Solano,11/17/2017,In Closure,1590106.00,10,Bay Area Counties
49 - Sonoma,11/17/2017,In Review,40588318.00,32,Bay Area Counties
49 - Sonoma,11/17/2017,Pending Construction,952313.00,22,Bay Area Counties
49 - Sonoma,11/17/2017,In Construction,24373870.00,52,Bay Area Counties
49 - Sonoma,11/17/2017,In Closure,2468048.00,16,Bay Area Counties
50 - Stanislaus,11/17/2017,In Review,20906670.00,14,
50 - Stanislaus,11/17/2017,Pending Construction,2669620.00,14,
50 - Stanislaus,11/17/2017,In Construction,22592050.00,40,
50 - Stanislaus,11/17/2017,In Closure,1345319.00,3,
51 - Sutter,11/17/2017,In Review,154500.00,3,
51 - Sutter,11/17/2017,Pending Construction,17500.00,2,
51 - Sutter,11/17/2017,In Construction,17300.00,2,
51 - Sutter,11/17/2017,In Closure,0.00,0,
52 - Tehama,11/17/2017,In Review,90000.00,1,
52 - Tehama,11/17/2017,Pending Construction,122000.00,2,
52 - Tehama,11/17/2017,In Construction,1500134.00,5,
52 - Tehama,11/17/2017,In Closure,0.00,0,
53 - Trinity,11/17/2017,In Review,0.00,0,
53 - Trinity,11/17/2017,Pending Construction,178500.00,3,
53 - Trinity,11/17/2017,In Construction,0.00,0,
53 - Trinity,11/17/2017,In Closure,1426478.00,2,
54 - Tulare,11/17/2017,In Review,16349047.00,6,
54 - Tulare,11/17/2017,Pending Construction,9511259.00,5,
54 - Tulare,11/17/2017,In Construction,46705353.00,19,
54 - Tulare,11/17/2017,In Closure,5934728.00,6,
55 - Tuolumne,11/17/2017,In Review,0.00,0,
55 - Tuolumne,11/17/2017,Pending Construction,163231.00,1,
55 - Tuolumne,11/17/2017,In Construction,2061852.00,3,
55 - Tuolumne,11/17/2017,In Closure,0.00,0,
56 - Ventura,11/17/2017,In Review,32815922.00,22,Greater Los Angeles Counties
56 - Ventura,11/17/2017,Pending Construction,2812100.00,21,Greater Los Angeles Counties
56 - Ventura,11/17/2017,In Construction,430347117.00,68,Greater Los Angeles Counties
56 - Ventura,11/17/2017,In Closure,1266002.00,4,Greater Los Angeles Counties
57 - Yolo,11/17/2017,In Review,14474000.00,6,Greater Sacramento Counties
57 - Yolo,11/17/2017,Pending Construction,2008923.00,4,Greater Sacramento Counties
57 - Yolo,11/17/2017,In Construction,10798052.00,12,Greater Sacramento Counties
57 - Yolo,11/17/2017,In Closure,543725.00,5,Greater Sacramento Counties
58 - Yuba,11/17/2017,In Review,0.00,0,
58 - Yuba,11/17/2017,Pending Construction,1971191.00,4,
58 - Yuba,11/17/2017,In Construction,58169724.00,14,
58 - Yuba,11/17/2017,In Closure,89170550.00,2,
01 - Alameda,11/30/2017,In Review,83926377.00,60,Bay Area Counties
01 - Alameda,11/30/2017,Pending Construction,62373198.00,48,Bay Area Counties
01 - Alameda,11/30/2017,In Construction,635056232.00,116,Bay Area Counties
01 - Alameda,11/30/2017,In Closure,5230068.00,15,Bay Area Counties
02 - Alpine,11/30/2017,In Review,0.00,0,
02 - Alpine,11/30/2017,Pending Construction,0.00,0,
02 - Alpine,11/30/2017,In Construction,0.00,0,
02 - Alpine,11/30/2017,In Closure,0.00,0,
03 - Amador,11/30/2017,In Review,2520053.00,2,
03 - Amador,11/30/2017,Pending Construction,10000.00,1,
03 - Amador,11/30/2017,In Construction,353993.00,1,
03 - Amador,11/30/2017,In Closure,1296866.00,4,
04 - Butte,11/30/2017,In Review,88750000.00,9,
04 - Butte,11/30/2017,Pending Construction,30000.00,1,
04 - Butte,11/30/2017,In Construction,2949708.00,9,
04 - Butte,11/30/2017,In Closure,411214.00,5,
05 - Calaveras,11/30/2017,In Review,170600.00,1,
05 - Calaveras,11/30/2017,Pending Construction,150000.00,1,
05 - Calaveras,11/30/2017,In Construction,141564.00,2,
05 - Calaveras,11/30/2017,In Closure,0.00,0,
06 - Colusa,11/30/2017,In Review,0.00,0,
06 - Colusa,11/30/2017,Pending Construction,0.00,0,
06 - Colusa,11/30/2017,In Construction,0.00,0,
06 - Colusa,11/30/2017,In Closure,0.00,0,
07 - Contra Costa,11/30/2017,In Review,32940102.00,33,Bay Area Counties
07 - Contra Costa,11/30/2017,Pending Construction,3006212.00,21,Bay Area Counties
07 - Contra Costa,11/30/2017,In Construction,41509247.00,65,Bay Area Counties
07 - Contra Costa,11/30/2017,In Closure,4577392.00,20,Bay Area Counties
08 - Del Norte,11/30/2017,In Review,0.00,0,
08 - Del Norte,11/30/2017,Pending Construction,126300.00,4,
08 - Del Norte,11/30/2017,In Construction,2257500.00,5,
08 - Del Norte,11/30/2017,In Closure,4300.00,1,
09 - El Dorado,11/30/2017,In Review,2655000.00,5,Greater Sacramento Counties
09 - El Dorado,11/30/2017,Pending Construction,2033079.00,4,Greater Sacramento Counties
09 - El Dorado,11/30/2017,In Construction,17357110.00,19,Greater Sacramento Counties
09 - El Dorado,11/30/2017,In Closure,158004.00,1,Greater Sacramento Counties
10 - Fresno,11/30/2017,In Review,86374767.00,24,
10 - Fresno,11/30/2017,Pending Construction,54571711.00,26,
10 - Fresno,11/30/2017,In Construction,53776886.00,80,
10 - Fresno,11/30/2017,In Closure,3460812.00,9,
11 - Glenn,11/30/2017,In Review,0.00,0,
11 - Glenn,11/30/2017,Pending Construction,12962075.00,2,
11 - Glenn,11/30/2017,In Construction,0.00,0,
11 - Glenn,11/30/2017,In Closure,0.00,0,
12 - Humboldt,11/30/2017,In Review,1093000.00,3,
12 - Humboldt,11/30/2017,Pending Construction,8065600.00,5,
12 - Humboldt,11/30/2017,In Construction,89016291.00,6,
12 - Humboldt,11/30/2017,In Closure,1244693.00,6,
13 - Imperial,11/30/2017,In Review,14509000.00,6,
13 - Imperial,11/30/2017,Pending Construction,46725000.00,5,
13 - Imperial,11/30/2017,In Construction,23182071.00,11,
